time,upstream_reservoir_water_level,upstream_reservoir_outflow,upstream_reservoir_volume,gate_1_opening,gate_1_outflow,canal_1_water_level,canal_1_outflow,canal_2_water_level,canal_2_outflow,gate_2_opening,gate_2_outflow,canal_3_water_level,canal_3_outflow,upstream_reservoir_inflow
0.0,10.0,0.0,100000.0,0.5,0.0,5.0,0.0,4.5,0.0,0.5,0.0,4.0,0.0,
0.0,10.030190911176938,19.809088823063014,100301.90911176938,0.5,19.86880425967215,5.1986880425967215,19.86880425967215,4.6986880425967215,19.86880425967215,0.5,7.404933327383219,4.059239466619066,7.404933327383219,50.0
10.0,10.060718460249378,19.472450927558537,100607.18460249378,0.5,19.533871791771862,5.397376085193443,19.86880425967215,4.897376085193443,19.86880425967215,0.5,8.110299737106953,4.118478933238132,7.404933327383219,50.0
20.0,10.091587879766957,19.130580482421067,100915.87879766957,0.5,19.193794352293384,5.596064127790164,19.86880425967215,5.096064127790164,19.86880425967215,0.5,8.759045956520808,4.177718399857198,7.404933327383219,50.0
30.0,10.122804677056685,18.783202710271183,101228.04677056686,0.5,18.84830491865082,5.794752170386886,19.86880425967215,5.294752170386886,19.86880425967215,0.5,9.362948804258727,4.2369578664762635,7.404933327383219,50.0
40.0,10.154374659131479,18.43001792520685,101543.74659131479,0.5,18.497112556198484,5.993440212983607,19.86880425967215,5.493440212983607,19.86880425967215,0.5,9.930193077372481,4.296197333095329,7.404933327383219,50.0
50.0,10.186303960878957,18.070698252521538,101863.03960878958,0.5,18.13989930883926,6.192128255580329,19.86880425967215,5.692128255580329,19.86880425967215,0.5,10.4667406004268,4.355436799714395,7.404933327383219,50.0
60.0,10.218599077107754,17.70488377120382,102185.99077107754,0.5,17.776316549653146,6.39081629817705,19.86880425967215,5.89081629817705,19.86880425967215,0.5,10.977093560653893,4.414676266333461,7.404933327383219,50.0
70.0,10.251266899157754,17.332177950000446,102512.66899157754,0.5,17.405980672313916,6.589504340773772,19.86880425967215,6.089504340773772,19.86880425967215,0.5,11.464750641949243,4.473915732952527,7.404933327383219,50.0
80.0,10.284314756945573,16.952142212179997,102843.14756945573,0.5,17.028467971639817,6.788192383370493,19.86880425967215,6.288192383370493,19.86880425967215,0.5,11.932494773717774,4.533155199571593,7.404933327383219,50.0
90.0,10.317750467528933,16.564289416638804,103177.50467528934,0.5,16.64330851858351,6.986880425967215,19.86880425967215,6.486880425967215,19.86880425967215,0.5,12.382582758355722,4.592394666190659,7.404933327383219,50.0
100.0,10.351582391549965,16.168075978970524,103515.82391549964,0.5,16.24997877718412,7.185568468563936,19.86880425967215,6.685568468563936,19.86880425967215,0.5,12.816874814487923,4.651634132809725,7.404933327383219,50.0
110.0,10.385819499281224,15.762892268741277,103858.19499281223,0.5,15.84789263248249,7.3842565111606575,19.86880425967215,6.8842565111606575,19.86880425967215,0.5,13.236925785581077,4.7108735994287905,7.404933327383219,50.0
120.0,10.420471448482907,15.348050798316445,104204.71448482906,0.5,15.436390390277454,7.582944553757379,19.86880425967215,7.082944553757379,19.86880425967215,0.5,13.644051029503943,4.770113066047856,7.404933327383219,50.0
130.0,10.455548676934093,14.92277154881289,104555.48676934093,0.5,15.014725158553803,7.7816325963541,19.86880425967215,7.2816325963541,19.86880425967215,0.5,14.039375083615155,4.829352532666922,7.404933327383219,50.0
140.0,10.491062513397674,14.486163536420463,104910.62513397673,0.5,14.582045806044489,7.980320638950822,19.86880425967215,7.480320638950822,19.86880425967215,0.5,14.423868308507272,4.888591999285988,7.404933327383219,50.0
150.0,10.527025312027506,14.037201370165954,105270.25312027507,0.5,14.137375383820654,8.179008681547543,19.86880425967215,7.679008681547543,19.86880425967215,0.5,14.798374952131969,4.947831465905054,7.404933327383219,50.0
160.0,10.563450616997413,13.574695030094322,105634.50616997412,0.5,13.67958344007981,8.377696724144265,19.86880425967215,7.877696724144265,19.86880425967215,0.5,15.16363496878678,5.00707093252412,7.404933327383219,50.0
170.0,10.600353366693966,13.097250303445952,106003.53366693966,0.5,13.207349972924188,8.576384766740986,19.86880425967215,8.076384766740986,19.86880425967215,0.5,15.520301211939788,5.066310399143186,7.404933327383219,50.0
180.0,10.637750150607415,12.603216086551473,106377.50150607414,0.5,12.719117710196622,8.775072809337708,19.86880425967215,8.275072809337708,19.86880425967215,0.5,15.868953146066884,5.125549865762252,7.404933327383219,50.0
190.0,10.675659537813067,12.090612794347797,106756.59537813066,0.5,12.213027734789852,8.97376085193443,19.86880425967215,8.47376085193443,19.86880425967215,0.5,16.210107902009554,5.1847893323813175,7.404933327383219,50.0
200.0,10.714102504938328,11.55703287473716,107141.02504938329,0.5,11.686830747800961,9.17244889453115,19.86880425967215,8.67244889453115,19.86880425967215,0.5,16.544229279042252,5.244028799000383,7.404933327383219,50.0
210.0,10.753103006070436,10.999498867891905,107531.03006070436,0.5,11.13776165455174,9.371136937127872,19.86880425967215,8.871136937127872,19.86880425967215,0.5,16.871735141361288,5.303268265619449,7.404933327383219,50.0
220.0,10.79268875155604,10.414254514395758,107926.8875155604,0.5,10.562357047379276,9.569824979724594,19.86880425967215,9.069824979724594,19.86880425967215,0.5,17.193003545715094,5.362507732238515,7.404933327383219,50.0
230.0,10.832892305832548,9.79644572349237,108328.92305832548,0.5,9.956180178811161,9.768513022321315,19.86880425967215,9.268513022321315,19.86880425967215,0.5,17.508377856491965,5.421747198857581,7.404933327383219,50.0
240.0,10.873752695000027,9.139610832522441,108737.52695000026,0.5,9.313388723328654,9.967201064918036,19.86880425967215,9.467201064918036,19.86880425967215,0.5,17.818171045548546,5.480986665476647,7.404933327383219,50.0
250.0,10.915317875978326,8.434819021700147,109153.17875978326,0.5,8.626019205404747,10.165889107514758,19.86880425967215,9.665889107514758,19.86880425967215,0.5,18.122669330182873,5.540226132095713,7.404933327383219,50.0
260.0,10.95764877109255,7.669104885775187,109576.4877109255,0.5,7.882721509579364,10.36457715011148,19.86880425967215,9.86457715011148,19.86880425967215,0.5,18.422135269666146,5.599465598714779,7.404933327383219,50.0
270.0,11.000826435655577,6.822335436974238,110008.26435655577,0.5,7.0663175650051855,10.5632651927082,19.86880425967215,10.0632651927082,19.86880425967215,0.5,18.716810415682577,5.658705065333844,7.404933327383219,50.0
280.0,11.044966418049246,5.860017606331069,110449.66418049246,0.5,6.148488608167473,10.761953235304922,19.86880425967215,10.261953235304922,19.86880425967215,0.5,19.00691759279579,5.71794453195291,7.404933327383219,50.0
